epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789638240	214.33	44	38	1905	0x0000000000000000	20490	26213512	8388604	4739864
1789638242	234.54	45	38	1965	0x0000000000000000	20490	26249692	8388604	4739864
1789638244	194.97	43	37	1755	0x0000000000000000	20490	26239984	8388604	4739864
1789638246	178.32	43	33	1755	0x0000000000000000	20490	26097220	8388604	4739864
1789638248	176.20	43	42	1770	0x0000000000000000	20490	26188796	8388604	4739864
1789638250	165.71	43	37	1800	0x0000000000000000	20490	26164612	8388604	4739864
1789638252	243.44	46	39	1980	0x0000000000000000	20490	26176532	8388604	4739864
1789638254	166.94	43	28	1695	0x0000000000000000	20490	26076044	8388604	4739864
1789638256	182.07	44	40	1860	0x0000000000000000	20490	26213492	8388604	4739864
1789638258	199.17	45	40	1875	0x0000000000000000	20490	26205300	8388604	4739864
1789638261	239.45	46	36	1980	0x0000000000000000	20490	26238972	8388604	4739864
1789638263	165.52	44	39	1695	0x0000000000000000	20490	26098956	8388604	4739864
1789638265	191.50	45	39	1860	0x0000000000000000	20490	26177408	8388604	4739864
1789638267	214.85	45	34	1920	0x0000000000000000	20490	26269524	8388604	4739864
1789638269	182.73	45	33	1845	0x0000000000000000	20490	26260616	8388604	4739864
1789638271	180.34	44	37	1740	0x0000000000000000	20490	26084500	8388604	4739864
1789638273	158.46	44	39	1695	0x0000000000000000	20490	26059940	8388604	4739864
1789638275	239.82	46	41	1965	0x0000000000000000	20490	26108696	8388604	4739864
1789638277	218.58	45	34	1875	0x0000000000000000	20490	26162136	8388604	4739864
1789638279	175.33	44	32	1695	0x0000000000000000	20490	26073048	8388604	4740004
1789638281	154.09	44	38	1770	0x0000000000000000	20490	26196268	8388604	4740004
1789638283	190.36	45	37	1800	0x0000000000000000	20490	26186248	8388604	4740004
1789638285	179.73	45	43	1875	0x0000000000000000	20490	26207796	8388604	4740004
1789638287	232.48	45	35	1905	0x0000000000000000	20490	26061308	8388604	4740004
1789638289	244.47	47	43	1980	0x0000000000000000	20490	26230936	8388604	4740004
1789638291	227.57	46	41	1980	0x0000000000000000	20490	26227660	8388604	4740004
1789638293	242.91	47	40	1980	0x0000000000000000	20490	26221360	8388604	4740004
1789638295	211.62	46	37	1815	0x0000000000000000	20490	26029456	8388604	4740004
1789638297	197.57	46	36	1830	0x0000000000000000	20490	26162556	8388604	4740004
1789638299	165.76	45	38	1695	0x0000000000000000	20490	25759636	8388604	4740004
1789638301	176.76	45	24	1875	0x0000000000000000	20490	25691088	8388604	4392796
1789638303	159.32	44	31	1695	0x0000000000000000	20490	25570808	8388604	4312984
1789638305	169.00	45	35	1695	0x0000000000000000	20490	25604380	8388604	4221604
1789638307	225.32	47	38	1935	0x0000000000000000	20490	26099476	8388604	4740004
1789638309	231.22	47	37	1965	0x0000000000000000	20490	26100300	8388604	4740004
1789638311	198.62	46	36	1875	0x0000000000000000	20490	26042004	8388604	4740004
1789638313	196.12	46	37	1860	0x0000000000000000	20490	26136460	8388604	4740004
1789638315	210.02	47	39	1890	0x0000000000000000	20490	26179064	8388604	4740004
1789638317	166.48	45	40	1845	0x0000000000000000	20490	26204152	8388604	4740004
1789638319	191.82	45	34	1770	0x0000000000000000	20490	26059224	8388604	4740004
1789638321	199.17	46	37	1860	0x0000000000000000	20490	26174680	8388604	4740004
1789638323	206.57	46	40	1890	0x0000000000000000	20490	26192472	8388604	4740004
1789638326	184.35	47	40	1920	0x0000000000000000	20490	26197572	8388604	4740004
1789638328	215.21	47	36	1920	0x0000000000000000	20490	26058132	8388604	4740004
1789638330	237.92	48	40	1965	0x0000000000000000	20490	26238572	8388604	4740004
1789638332	245.33	48	36	1965	0x0000000000000000	20490	26219048	8388604	4740004
1789638334	207.76	47	31	1950	0x0000000000000000	20490	26204136	8388604	4740004
1789638336	240.85	48	42	1965	0x0000000000000000	20490	26031076	8388604	4740004
1789638338	245.39	48	38	1965	0x0000000000000000	20490	26136320	8388604	4740004
1789638340	187.54	47	37	1800	0x0000000000000000	20490	26168264	8388604	4740004
1789638342	241.89	48	38	1965	0x0000000000000000	20490	26177648	8388604	4740004
1789638344	187.73	47	38	1800	0x0000000000000000	20490	26045868	8388604	4740004
1789638346	189.18	47	35	1935	0x0000000000000000	20490	26209296	8388604	4740004
1789638348	242.86	49	37	1965	0x0000000000000000	20490	26204936	8388604	4740004
1789638350	207.14	46	29	1755	0x0000000000000000	20490	26160548	8388604	4740004
1789638352	208.22	48	42	1920	0x0000000000000000	20490	26056396	8388604	4740004
1789638354	237.70	49	38	1965	0x0000000000000000	20490	26235884	8388604	4740004
1789638356	196.68	47	32	1830	0x0000000000000000	20490	26229692	8388604	4740004
1789638358	220.08	47	38	1935	0x0000000000000000	20490	26166476	8388604	4740004
1789638360	189.94	47	34	1800	0x0000000000000000	20490	25998264	8388604	4740004
1789638362	203.73	47	39	1950	0x0000000000000000	20490	26156124	8388604	4740004
1789638364	252.06	49	42	1965	0x0000000000000000	20490	26155664	8388604	4740004
1789638366	231.68	48	22	1965	0x0000000000000000	20490	26054064	8388604	4740004
1789638368	169.70	46	20	1725	0x0000000000000000	20490	25569908	8388604	4642184
